Date,Open,High,Low,Close,Adj Close,Volume
6/30/2022,2381.339111,2414.474854,2368.417236,2395.78418,2379.587158,11556479
7/1/2022,2376.631836,2392.415039,2182.894287,2223.229248,2208.19873,40998574
7/4/2022,2195.77002,2253.965088,2183.909424,2227.844238,2212.782471,20928864
7/5/2022,2236.428223,2275.101807,2230.982422,2245.888916,2230.705078,8823663
7/6/2022,2233.751465,2253.918945,2204.123291,2226.136719,2211.086426,11971863
7/7/2022,2239.10498,2245.888916,2192.124268,2204.215576,2189.313477,11650516
7/8/2022,2231.813232,2231.813232,2199.092773,2207.261475,2192.338867,9505054
7/11/2022,2193.508789,2241.781494,2187.509277,2237.259033,2222.133545,6923733
7/12/2022,2218.891113,2251.842285,2218.891113,2234.074463,2218.970459,5389494
7/13/2022,2240.397217,2246.581299,2190.27832,2194.477783,2179.641602,7112066
7/14/2022,2204.123291,2246.535156,2193.924072,2212.568604,2197.610107,8485157
7/15/2022,2229.044189,2229.044189,2199.600586,2216.860596,2201.873047,4801605
7/18/2022,2234.582275,2238.27417,2208.092041,2235.736084,2220.62085,7580454
7/19/2022,2215.476074,2258.580322,2215.476074,2249.442627,2234.234863,8219944
7/20/2022,2344.419189,2346.726563,2294.807861,2310.268066,2294.64917,11962123
7/21/2022,2301.961182,2307.499268,2277.317139,2294.854004,2279.339111,8261615
7/22/2022,2307.499268,2322.544189,2302.884277,2310.360596,2294.740723,5484997
7/25/2022,2277.455566,2277.455566,2217.968262,2234.02832,2218.924805,11555226
7/26/2022,2234.674561,2255.718994,2225.675293,2235.043701,2219.933105,5651644
7/27/2022,2233.613037,2240.120117,2217.045166,2232.920898,2217.824707,4327543
7/28/2022,2248.427246,2277.916992,2234.582275,2267.902588,2252.569824,6248036
7/29/2022,2284.147217,2323.282471,2274.27124,2316.221436,2300.562256,7565341
8/1/2022,2325.174561,2388.492432,2314.513916,2376.585693,2360.518066,7850022
8/2/2022,2374.416748,2406.998535,2364.309814,2385.631104,2369.502441,6958956
8/3/2022,2399.799072,2409.029053,2369.755615,2405.660156,2389.395996,7125488
8/4/2022,2409.029053,2416.182373,2339.804199,2373.862793,2357.813965,7233563
8/5/2022,2377.647217,2380.231445,2332.374023,2338.881104,2323.068604,6971219
8/8/2022,2336.112061,2384.615723,2336.112061,2369.478516,2353.459229,5082589
